"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    18 to 24 years","8.2%","±0.4","8.2%","±0.3","8.2%","±0.8","8.7%","±0.3","8.8%","±0.5","8.7%","±0.4","30.8%","±0.1","29.3%","±0.1","32.1%","±0.1","9.6%","±0.7","10.5%","±0.9","8.7%","±1.1","10.0%","±0.7","10.1%","±1.2","9.9%","±0.6","11.5%","±4.1","8.4%","±0.8","13.9%","±6.5","7.6%","±0.5","8.3%","±0.5","7.0%","±1.0","8.0%","±0.4","8.6%","±0.4","7.4%","±0.5","8.1%","±0.8","7.9%","±0.6","8.3%","±1.2","7.4%","±0.5","7.6%","±0.6","7.2%","±0.9","9.5%","±1.3","9.2%","±1.5","9.8%","±2.3","6.4%","±0.4","7.5%","±0.8","5.3%","±0.1","9.3%","±0.3","8.9%","±0.4","9.7%","±0.4","10.9%","±3.4","6.7%","±4.2","14.1%","±4.7","7.9%","±0.3","8.0%","±0.3","7.8%","±0.6"
"    15 to 44 years","39.3%","±0.7","39.9%","±0.7","38.6%","±1.0","44.4%","±0.3","44.8%","±0.6","44.1%","±0.5","60.3%","±0.1","60.7%","±0.2","59.9%","±0.2","38.0%","±0.6","38.8%","±1.2","37.3%","±0.9","38.2%","±0.6","39.7%","±0.8","36.7%","±1.0","42.0%","±3.8","40.6%","±3.1","43.1%","±4.3","35.8%","±0.8","37.2%","±0.9","34.4%","±1.2","41.1%","±0.4","42.2%","±0.7","40.0%","±0.6","38.8%","±0.9","38.3%","±1.2","39.4%","±1.1","37.9%","±0.9","37.7%","±1.6","38.1%","±0.8","37.3%","±1.3","37.2%","±1.6","37.4%","±2.1","32.6%","±0.9","33.9%","±0.9","31.4%","±1.4","37.4%","±0.5","37.4%","±1.0","37.4%","±0.5","32.9%","±2.8","31.2%","±2.1","34.2%","±3.4","35.3%","±0.7","35.6%","±1.2","35.0%","±0.9"
"    16 years and over","77.5%","±0.9","76.0%","±1.2","79.0%","±1.0","74.7%","±0.3","73.7%","±0.5","75.7%","±0.6","84.1%","±0.1","82.9%","±0.2","85.1%","±0.2","78.9%","±0.5","78.0%","±0.7","79.7%","±0.8","80.1%","±0.5","79.3%","±1.2","80.9%","±1.1","79.0%","±0.4","76.0%","±2.3","81.5%","±1.4","80.3%","±0.5","79.4%","±1.1","81.1%","±1.1","76.6%","±0.4","76.2%","±0.8","76.9%","±0.8","78.2%","±0.7","77.5%","±0.7","78.9%","±1.3","75.7%","±0.3","73.6%","±0.7","77.7%","±0.6","78.3%","±0.9","76.2%","±1.8","80.4%","±1.7","81.6%","±1.0","80.0%","±1.8","83.1%","±1.1","79.8%","±0.5","77.7%","±1.0","81.6%","±1.0","86.7%","±0.6","84.6%","±1.2","88.3%","±1.1","80.6%","±0.5","78.7%","±0.8","82.4%","±0.8"
"    18 years and over","74.1%","±0.9","72.4%","±1.2","76.0%","±1.1","71.6%","±0.1","70.4%","±0.5","72.9%","±0.5","82.2%","±0.1","81.1%","±0.2","83.3%","±0.2","76.2%","±0.1","75.3%","±0.4","77.0%","±0.4","77.0%","±0.2","76.1%","±0.9","78.0%","±0.9","76.1%","±0.1","73.0%","±2.5","78.6%","±1.6","77.2%","*****","76.0%","±0.8","78.4%","±0.8","73.4%","*****","72.4%","±0.6","74.4%","±0.6","75.3%","±0.6","74.7%","±0.5","75.8%","±1.2","71.4%","*****","69.1%","±0.4","73.6%","±0.4","75.7%","*****","73.6%","±1.1","77.7%","±1.2","78.9%","±0.9","76.9%","±1.7","80.8%","±1.0","77.1%","±0.2","75.3%","±0.6","78.7%","±0.7","84.6%","±0.4","83.6%","±1.5","85.4%","±1.0","77.8%","±0.2","76.2%","±0.6","79.4%","±0.4"
"    60 years and over","18.2%","±1.0","16.4%","±1.0","20.1%","±1.6","13.9%","±0.5","12.1%","±0.6","15.6%","±0.6","11.6%","±0.3","10.0%","±0.4","13.1%","±0.3","22.8%","±0.8","20.9%","±1.3","24.6%","±1.0","23.2%","±0.9","21.3%","±1.4","25.0%","±1.4","20.6%","±0.7","20.7%","±2.2","20.5%","±1.7","25.1%","±0.8","23.0%","±1.1","27.1%","±1.2","16.7%","±0.5","14.4%","±0.7","19.0%","±0.7","18.1%","±0.7","17.6%","±1.0","18.6%","±0.9","15.4%","±0.6","14.2%","±0.9","16.5%","±0.8","20.3%","±1.2","18.5%","±1.4","22.3%","±1.7","27.8%","±1.2","25.9%","±1.5","29.7%","±1.7","23.1%","±0.8","21.9%","±1.3","24.3%","±1.1","38.9%","±1.4","40.7%","±3.0","37.4%","±2.4","24.1%","±1.2","23.9%","±1.5","24.3%","±1.6"
"    62 years and over","15.1%","±0.9","14.3%","±1.1","16.0%","±1.1","11.6%","±0.5","10.1%","±0.6","13.1%","±0.5","10.2%","±0.2","8.7%","±0.4","11.6%","±0.3","19.9%","±0.9","17.9%","±1.3","21.8%","±1.1","20.5%","±0.8","18.9%","±1.2","21.9%","±1.2","18.7%","±0.6","18.5%","±2.0","18.8%","±1.6","22.1%","±0.7","19.4%","±1.0","24.7%","±1.1","13.9%","±0.4","12.1%","±0.6","15.6%","±0.6","15.7%","±0.6","15.0%","±0.9","16.4%","±0.6","13.1%","±0.6","12.2%","±0.9","13.9%","±0.7","17.4%","±1.2","15.7%","±1.5","19.1%","±1.4","25.0%","±1.2","23.0%","±1.3","27.0%","±1.7","19.9%","±0.8","17.9%","±1.2","21.6%","±1.0","34.6%","±1.3","36.6%","±2.9","33.0%","±2.1","20.2%","±1.1","19.6%","±1.5","20.7%","±1.2"
"    65 years and over","12.2%","±0.5","10.8%","±0.3","13.6%","±0.8","9.0%","±0.2","7.4%","±0.3","10.5%","±0.2","8.3%","±0.1","6.8%","±0.1","9.7%","±0.1","16.0%","±0.2","13.9%","±0.2","17.9%","±0.2","16.6%","±0.4","14.4%","±0.6","18.7%","±0.6","14.9%","±0.2","14.7%","±1.4","15.0%","±1.1","17.1%","±0.1","14.9%","±0.2","19.2%","±0.2","11.1%","±0.2","9.6%","±0.3","12.6%","±0.2","12.9%","±0.3","11.7%","±0.5","13.9%","±0.2","10.2%","±0.3","9.0%","±0.4","11.3%","±0.3","13.2%","±0.4","11.7%","±0.8","14.8%","±0.2","20.0%","±0.3","18.0%","±0.4","22.0%","±0.7","15.9%","±0.2","13.9%","±0.5","17.9%","±0.2","28.3%","±0.6","28.8%","±2.0","28.0%","±1.5","16.6%","±0.3","15.7%","±0.6","17.5%","±0.4"
"    75 years and over","4.6%","±0.4","3.6%","±0.3","5.6%","±0.6","3.6%","±0.1","2.6%","±0.2","4.6%","±0.1","3.9%","±0.1","2.9%","±0.1","4.8%","±0.1","8.2%","±0.4","6.3%","±0.6","9.9%","±0.6","7.4%","±0.2","5.4%","±0.3","9.2%","±0.4","6.5%","±0.2","6.0%","±0.6","7.0%","±0.5","7.3%","±0.3","5.8%","±0.4","8.8%","±0.4","4.2%","±0.2","3.2%","±0.2","5.3%","±0.2","5.0%","±0.2","3.9%","±0.3","6.0%","±0.1","4.2%","±0.2","3.2%","±0.1","5.2%","±0.3","4.9%","±0.5","4.0%","±0.8","5.9%","±0.8","8.5%","±0.3","7.0%","±0.1","9.9%","±0.6","7.3%","±0.2","5.5%","±0.3","8.9%","±0.3","11.8%","±0.1","11.4%","±0.8","12.1%","±0.6","6.6%","±0.1","5.8%","±0.2","7.3%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","37.5","±1.0","35.9","±1.1","39.5","±1.6","32.9","±0.4","32.0","±0.4","34.2","±0.5","25.8","±0.2","25.8","±0.2","25.7","±0.2","39.9","±1.2","38.2","±1.9","41.5","±0.8","39.4","±0.6","38.6","±0.7","41.4","±1.9","36.2","±3.3","35.7","±3.4","37.1","±3.2","41.9","±0.6","41.1","±0.8","43.4","±0.6","36.0","±0.4","35.1","±0.3","37.6","±0.7","38.7","±0.5","38.3","±1.0","38.9","±0.9","38.9","±0.7","37.5","±0.9","40.0","±0.9","40.5","±1.6","39.7","±1.4","41.8","±3.3","44.9","±0.9","42.9","±0.7","47.0","±0.8","40.0","±0.6","39.3","±0.8","40.6","±0.7","49.3","±1.4","49.0","±1.9","49.5","±2.3","42.9","±0.9","40.7","±1.2","43.7","±0.6"
"    Sex ratio (males per 100 females)","102.9","±2.5","(X)","(X)","(X)","(X)","97.6","±1.6","(X)","(X)","(X)","(X)","90.9","±0.4","(X)","(X)","(X)","(X)","91.7","±2.6","(X)","(X)","(X)","(X)","95.9","±2.4","(X)","(X)","(X)","(X)","79.4","±13.6","(X)","(X)","(X)","(X)","95.3","±2.5","(X)","(X)","(X)","(X)","99.9","±1.9","(X)","(X)","(X)","(X)","95.7","±2.5","(X)","(X)","(X)","(X)","98.2","±1.3","(X)","(X)","(X)","(X)","103.2","±2.9","(X)","(X)","(X)","(X)","97.3","±3.5","(X)","(X)","(X)","(X)","92.2","±1.8","(X)","(X)","(X)","(X)","77.9","±9.0","(X)","(X)","(X)","(X)","97.5","±2.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.4","±2.3","(X)","(X)","(X)","(X)","59.6","±0.4","(X)","(X)","(X)","(X)","35.3","±0.2","(X)","(X)","(X)","(X)","66.0","±0.3","(X)","(X)","(X)","(X)","65.3","±1.1","(X)","(X)","(X)","(X)","63.3","±0.6","(X)","(X)","(X)","(X)","66.4","±0.1","(X)","(X)","(X)","(X)","60.6","±0.5","(X)","(X)","(X)","(X)","60.2","±1.4","(X)","(X)","(X)","(X)","63.3","±0.9","(X)","(X)","(X)","(X)","60.2","±1.1","(X)","(X)","(X)","(X)","69.9","±2.6","(X)","(X)","(X)","(X)","63.6","±1.0","(X)","(X)","(X)","(X)","77.7","±2.3","(X)","(X)","(X)","(X)","63.5","±0.9","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","19.7","±0.9","(X)","(X)","(X)","(X)","14.3","±0.3","(X)","(X)","(X)","(X)","11.2","±0.1","(X)","(X)","(X)","(X)","26.5","±0.1","(X)","(X)","(X)","(X)","27.4","±0.8","(X)","(X)","(X)","(X)","24.3","±0.5","(X)","(X)","(X)","(X)","28.5","±0.1","(X)","(X)","(X)","(X)","17.8","±0.3","(X)","(X)","(X)","(X)","20.6","±0.5","(X)","(X)","(X)","(X)","16.6","±0.6","(X)","(X)","(X)","(X)","21.2","±0.8","(X)","(X)","(X)","(X)","34.0","±0.8","(X)","(X)","(X)","(X)","26.1","±0.5","(X)","(X)","(X)","(X)","50.3","±1.7","(X)","(X)","(X)","(X)","27.2","±0.6","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.7","±2.0","(X)","(X)","(X)","(X)","45.2","±0.1","(X)","(X)","(X)","(X)","24.1","±0.1","(X)","(X)","(X)","(X)","39.5","±0.3","(X)","(X)","(X)","(X)","37.9","±0.4","(X)","(X)","(X)","(X)","39.0","±0.1","(X)","(X)","(X)","(X)","37.9","±0.1","(X)","(X)","(X)","(X)","42.7","±0.1","(X)","(X)","(X)","(X)","39.6","±1.2","(X)","(X)","(X)","(X)","46.7","±0.3","(X)","(X)","(X)","(X)","39.0","±0.3","(X)","(X)","(X)","(X)","35.9","±2.1","(X)","(X)","(X)","(X)","37.5","±0.5","(X)","(X)","(X)","(X)","27.4","±1.0","(X)","(X)","(X)","(X)","36.3","±0.4","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.6%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","0.4%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","0.4%","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","0.5%","(X)","(X)","(X)","(X)","(X)"
